word,ci_lower,ci_upper,mean,n,gender_bias
hand,2.642857143,3.5,3.071428571,14,neither
handed,2.461538462,3.307692308,2.846153846,13,neither
hands,2.857142857,3.857142857,3.357142857,14,neither
rest,3,3.428571429,3.214285714,14,f
ribbons,3.857142857,4.857142857,4.428571429,14,f
ring,3.533333333,4.4,4,15,f
ringing,3,3.615384615,3.307692308,13,f
happen,2.785714286,3,2.928571429,14,neither
happened,2.642857143,3,2.857142857,14,neither
rings (bell),3.214285714,4.142857143,3.642857143,14,f
happy,2.8,3.8,3.333333333,15,neither
rings (finger),4.142857143,4.642857143,4.357142857,14,f
Rita,4.785714286,5,4.928571429,14,f
robin,3.066666667,3.666666667,3.4,15,f
hare,2.538461538,3.461538462,3,13,neither
hark,2.5,3.357142857,2.928571429,14,neither
rolls (bread),3,3.801666667,3.4,15,f
rose (flower),3.666666667,4.833333333,4.333333333,12,f
Ruby,4,4.9,4.5,10,f
has,2.6,3.066666667,2.866666667,15,neither
salad,3.571428571,4.285714286,3.928571429,14,f
hatch,2.769230769,3.769230769,3.230769231,13,neither
Sally,4.4,5,4.8,15,f
have,2.714285714,3.142857143,2.928571429,14,neither
having,2.6234375,3.1875,2.875,16,neither
hay,1.933333333,3.068333333,2.533333333,15,neither
same,3,3.3,3.1,10,f
sang,3.4,4.133333333,3.8,15,f
headed,2.461538462,3.076923077,2.769230769,13,neither
Sarah,4.769230769,5,4.923076923,13,f
hear,2.7,3.3,3,10,neither
heard,2.785714286,3.5,3.142857143,14,neither
saw (eyes),3.214285714,3.857142857,3.5,14,f
say,3.125,3.5625,3.3125,16,f
scared,3.5,4.214285714,3.857142857,14,f
screamed,3.176470588,3.823529412,3.529411765,17,f
hedgehog,2.285714286,3,2.642857143,14,neither
seat,3,3.214285714,3.071428571,14,f
secret,3.5,4.333333333,3.916666667,12,f
seemed,3,3.416666667,3.166666667,12,f
seen,3.071428571,3.5,3.285714286,14,f
setting (a location),3.071428571,3.5,3.285714286,14,f
settle,3.307692308,4,3.615384615,13,f
sew,3.642857143,4.5,4.071428571,14,f
helping (portion),2.6,3.133333333,2.866666667,15,neither
"shade (e.g., from sun)",3.142857143,3.714285714,3.428571429,14,f
shape,3,3.384615385,3.153846154,13,f
shapes,3,3.470588235,3.176470588,17,f
share,3.2,4,3.6,10,f
here,2.928571429,3.5,3.214285714,14,neither
she,4,5,4.6,15,f
she'd,5,5,5,12,f
Hester,1.833333333,3.833333333,2.833333333,12,neither
hey,2.714285714,3.642857143,3.142857143,14,neither
hi,2.875,3.5625,3.1875,16,neither
hid,2.846153846,3.307692308,3.076923077,13,neither
sheets,3.285714286,4,3.642857143,14,f
shell,3.076923077,3.769230769,3.384615385,13,f
high,2.266666667,3.066666667,2.666666667,15,neither
higher,2.642857143,3.357142857,3,14,neither
shining,3.384615385,4.153846154,3.769230769,13,f
shiny,3.857142857,4.571428571,4.214285714,14,f
hills,2.6875,3.5625,3.125,16,neither
shiver,3.142857143,3.928571429,3.5,14,f
shoes,3,3.866666667,3.4,15,f
hind,2.4,3.133333333,2.8,15,neither
shopping,3.5,4.357142857,3.928571429,14,f
Hiroko,2.615384615,3.692307692,3.153846154,13,neither
short,3.066666667,3.8,3.4,15,f
shortcake,3.705882353,4.176470588,3.941176471,17,f
shows (theater),3.058823529,3.411764706,3.235294118,17,f
hold,2.5625,3.4375,3,16,neither
hole,2.571428571,3.142857143,2.857142857,14,neither
shy,3.714285714,4.430357143,4.071428571,14,f
side,3,3.214285714,3.071428571,14,f
sighed,3.083333333,3.916666667,3.5,12,f
sight,3,3.75,3.375,16,f
honor,2.785714286,3.7875,3.285714286,14,neither
honorable,2.642857143,3.214285714,2.928571429,14,neither
hoo,2.9,3.7,3.3,10,neither
silence,3.076923077,3.846153846,3.461538462,13,f
silent,3,3.428571429,3.214285714,14,f
silk,3.642857143,4.430357143,4.071428571,14,f
silly,3,3.642857143,3.357142857,14,f
hop,2.6875,3.5625,3.125,16,neither
since,3,3.357142857,3.142857143,14,f
sincerely,3.307692308,4.076923077,3.692307692,13,f
sing,3.4,4.133333333,3.8,15,f
hornpipe,1.833333333,3.083333333,2.416666667,12,neither
singing,3.466666667,4.001666667,3.733333333,15,f
horse,2.133333333,3.133333333,2.6,15,neither
sings,3.294117647,3.764705882,3.529411765,17,f
hose (tube),2.355357143,3.071428571,2.714285714,14,neither
sister,4.642857143,5,4.857142857,14,f
hot,2.8,3.8,3.3,10,neither
six,3,3.3,3.1,10,f
house,2.714285714,3.357142857,3.071428571,14,neither
houses,2.857142857,3.642857143,3.214285714,14,neither
skating,3,4.083333333,3.583333333,12,f
skin,3.285714286,3.928571429,3.571428571,14,f
hum,2.866666667,3.666666667,3.266666667,15,neither
skinny,3.785714286,4.571428571,4.214285714,14,f
hump (bump on your back),2.428571429,3.285714286,2.857142857,14,neither
hundred,2.4,3,2.7,10,neither
hundreds,2.615384615,3,2.846153846,13,neither
sky,3,3.666666667,3.333333333,15,f
sleep,3.076923077,3.538461538,3.307692308,13,f
slide,3,3.333333333,3.133333333,15,f
slowly,3.125,3.8125,3.4375,16,f
hurray,2.928571429,3.5,3.214285714,14,neither
hurried,2.333333333,3.083333333,2.666666667,12,neither
hurry,2.6,3.2,2.9,10,neither
hurt,2.4375,3.0625,2.75,16,neither
small,3.714285714,4.142857143,3.928571429,14,f
smaller,3.5,4.071428571,3.785714286,14,f
ice,2.461538462,3.153846154,2.846153846,13,neither
icy,2.823529412,3.470588235,3.117647059,17,neither
idea,2.75,3.666666667,3.166666667,12,neither
ideas,2.8,3.4,3.066666667,15,neither
smile,3.214285714,3.928571429,3.571428571,14,f
smiled,3.25,3.916666667,3.583333333,12,f
snow,3,3.533333333,3.266666667,15,f
immediately,2.428571429,3.071428571,2.785714286,14,neither
impatient,2.665,3.535,3.066666667,15,neither
important,2.25,3,2.666666667,12,neither
inch (unit of length),2.461538462,3.307692308,2.846153846,13,neither
indeed,2.8,3.6,3.2,15,neither
snowflakes,3.5,3.928571429,3.714285714,14,f
ink,2.613461538,3.538461538,3.076923077,13,neither
inside,2.928571429,3.428571429,3.142857143,14,neither
insist,2.428571429,3.285714286,2.857142857,14,neither
instant,2.714285714,3.142857143,2.928571429,14,neither
instead,2.785714286,3.214285714,3,14,neither
into,2.857142857,3.285714286,3.071428571,14,neither
snuggle,3.588235294,4.176470588,3.882352941,17,f
invisible,2.769230769,3.384615385,3.076923077,13,neither
soap,3,3.666666667,3.333333333,15,f
iron,2.057352941,3.058823529,2.529411765,17,neither
sofa,3,3.833333333,3.416666667,12,f
itself,2.8,3,2.933333333,15,neither
soft,4.285714286,4.928571429,4.642857143,14,f
jacket,2.833333333,3.833333333,3.333333333,12,neither
softly,4.357142857,5,4.714285714,14,f
some,3,3.3,3.1,10,f
somebody,3,3,3,10,f
someone,3,3.428571429,3.214285714,14,f
jar,2.666666667,3.4,3,15,neither
sometimes,2.998214286,3.571428571,3.285714286,14,f
song,3.5,4.1875,3.8125,16,f
Sonia,4.5,5,4.8,10,f
jelly,2.928571429,3.5,3.214285714,14,neither
soon,3,3.6,3.3,10,f
sorry,3.1,3.7,3.4,10,f
sounded,3,3.571428571,3.285714286,14,f
jig (dance),2.714285714,3.714285714,3.214285714,14,neither
sounds,3,3.428571429,3.214285714,14,f
south,3,3.3,3.1,10,f
sparrow,3.307692308,4,3.615384615,13,f
special,3.230769231,3.769230769,3.538461538,13,f
join,2.666666667,3.333333333,3,12,neither
spell (magical),3,4.076923077,3.538461538,13,f
jolly,2.416666667,3.833333333,3.166666667,12,neither
Joyner,2.7,4.3,3.5,10,neither
spell (writing),3,3.428571429,3.214285714,14,f
spend,3.25,4.25,3.75,12,f
spin,3.076923077,3.692307692,3.307692308,13,f
splash,3,3.666666667,3.333333333,15,f
jump,2.466666667,3.266666667,2.866666667,15,neither
splosh,3,3.857142857,3.428571429,14,f
spring (season),3.571428571,4.285714286,3.928571429,14,f
sprinkled,3.294117647,4.058823529,3.647058824,17,f
sprinkles,3.733333333,4.4,4.066666667,15,f
squeak,3.357142857,4.142857143,3.785714286,14,f
star,3.466666667,4,3.733333333,15,f
stars,3.153846154,3.615384615,3.384615385,13,f
stay,3,3.642857143,3.357142857,14,f
Keller,2.7,3.9,3.3,10,neither
Stellaluna,4,4.9,4.5,10,f
ketchup,2.846153846,3.307692308,3.076923077,13,neither
stocking,3.153846154,4.461538462,3.846153846,13,f
stopped,3,3,3,13,f
store (the place),3,3.230769231,3.076923077,13,f
stores,3.083333333,3.585416667,3.333333333,12,f
strawberry,3.857142857,4.285714286,4.071428571,14,f
stream (small river),3,3.333333333,3.133333333,15,f
students,3.071428571,3.428571429,3.214285714,14,f
Sue,3.833333333,4.833333333,4.416666667,12,f
summer,3.3,4.2,3.7,10,f
supposed,3.071428571,3.5,3.285714286,14,f
sure,3.133333333,3.6,3.333333333,15,f
surprise,3.1,3.6,3.3,10,f
surprised,3,3.357142857,3.142857143,14,f
kite,2.866666667,3.4,3.133333333,15,neither
sweater,3.141071429,3.785714286,3.5,14,f
sweet,3.857142857,4.714285714,4.285714286,14,f
swim,3.071428571,3.785714286,3.428571429,14,f
taffy,3.384615385,4.230769231,3.769230769,13,f
knee,2.5,3.142857143,2.857142857,14,neither
knees,2.7,3.6,3.1,10,neither
knew,2.625,3.4375,3,16,neither
talk,3.428571429,4,3.714285714,14,f
talking,3.214285714,3.857142857,3.5,14,f
taste,3,3.307692308,3.153846154,13,f
knocked,2.333333333,3.25,2.833333333,12,neither
know,2.733333333,3.266666667,3,15,neither
knows,2.857142857,3.5,3.142857143,14,neither
tasty,3,4.001785714,3.571428571,14,f
tea,3.5,4.144642857,3.857142857,14,f
teach,3.230769231,3.769230769,3.538461538,13,f
teacher,3.666666667,4.333333333,4,15,f
tears (eyes),3.615384615,4.230769231,3.923076923,13,f
telephone,3,3.5,3.2,10,f
lamp,2.926785714,3.428571429,3.142857143,14,neither
ten,3,3,3,12,f
tender,3.857142857,4.571428571,4.214285714,14,f
landing,2.384615385,3,2.692307692,13,neither
lane,2.882352941,3.588235294,3.235294118,17,neither
lap,2.933333333,3.666666667,3.266666667,15,neither
thank,3.071428571,3.571428571,3.285714286,14,f
thanked,3.076923077,3.692307692,3.384615385,13,f
thanks,3.153846154,3.615384615,3.384615385,13,f
late,2.666666667,3.333333333,3,12,neither
thin,3.2,4.066666667,3.6,15,f
laughed,2.833333333,3.5,3.166666667,12,neither
laughing,2.75,3.5,3.083333333,12,neither
laughter,2.5,3.071428571,2.785714286,14,neither
think,3,3.3,3.1,10,f
thinks,3,3.357142857,3.142857143,14,f
lay,2.8,3.6,3.2,10,neither
those,3,3.7,3.3,10,f
thousand,3,3.25,3.083333333,12,f
leaf,2.933333333,3.6,3.266666667,15,neither
lean (to one side),2.538461538,3.153846154,2.846153846,13,neither
throat,3,3.5,3.25,12,f
tickle,3.7,4.5,4.1,10,f
times,3,3,3,13,f
leave,2.357142857,3.142857143,2.785714286,14,neither
leaves (on trees),2.928571429,3.571428571,3.214285714,14,neither
tiny,3.714285714,4.142857143,3.928571429,14,f
tiptoe,3.5,4.071428571,3.785714286,14,f
left (action),2.571428571,3.142857143,2.857142857,14,neither
left (direction),2.428571429,3.142857143,2.785714286,14,neither
leg,2.933333333,3.666666667,3.266666667,15,neither
today,3,3.357142857,3.142857143,14,f
Lemlich,2,3,2.5,10,neither
lemon,2.571428571,3.214285714,2.928571429,14,neither
lend,2.642857143,3,2.857142857,14,neither
toes,3.066666667,3.733333333,3.4,15,f
Lessmore,2.3,3.2,2.8,10,neither
lesson,2.941176471,3.411764706,3.176470588,17,neither
together,3,3.3,3.1,10,f
let (allow),2.733333333,3.666666667,3.2,15,neither
letter,2.5,3.25,2.916666667,12,neither
touch,3.333333333,4.133333333,3.733333333,15,f
towels,3.214285714,3.858928571,3.5,14,f
toy,3.071428571,3.501785714,3.285714286,14,f
treat,3.2,3.866666667,3.533333333,15,f
lifted,1.785714286,3,2.357142857,14,neither
light,2.875,3.6875,3.25,16,neither
Triangle,3,3,3,10,f
Trixie,4.785714286,5,4.928571429,14,f
tummy,3.083333333,4.333333333,3.75,12,f
likely,2.857142857,3.571428571,3.214285714,14,neither
twice,3,3.230769231,3.076923077,13,f
twinkle,3.692307692,4.538461538,4.153846154,13,f
two,3,3.357142857,3.142857143,14,f
type (kind of something),3.066666667,3.8,3.4,15,f
umbrella,3.214285714,3.857142857,3.5,14,f
understand,3,3.615384615,3.307692308,13,f
up,3,3.416666667,3.166666667,12,f
list,2.4,3.2,2.8,10,neither
us,3.071428571,3.714285714,3.357142857,14,f
very,3,3.3,3.1,10,f
view,3.153846154,3.846153846,3.461538462,13,f
village,3,3.357142857,3.142857143,14,f
Virginia,4.5,5,4.8,10,f
waiting,3.071428571,3.5,3.285714286,14,f
lives,2.866666667,3.333333333,3.066666667,15,neither
wake,3.133333333,3.733333333,3.4,15,f
walking,3,3.642857143,3.285714286,14,f
llama,2.8,3.7,3.2,10,neither
warm,3,4.068333333,3.533333333,15,f
loaded (to fill),2.141071429,3,2.571428571,14,neither
water,3.214285714,3.785714286,3.5,14,f
wave (with hand),3.357142857,4.071428571,3.714285714,14,f
waved,3,3.571428571,3.285714286,14,f
way,3,3.357142857,3.142857143,14,f
we,3.428571429,4,3.714285714,14,f
London,2.166666667,3.083333333,2.666666667,12,neither
lonely,2.666666667,3.466666667,3.066666667,15,neither
weak,3.857142857,4.5,4.142857143,14,f
longed,2.571428571,3.428571429,3,14,neither
wear,3.071428571,3.642857143,3.357142857,14,f
wearing,3.142857143,3.857142857,3.5,14,f
looked,2.428571429,3.357142857,2.928571429,14,neither
wedding,3.307692308,4.230769231,3.769230769,13,f
looks,2.857142857,3.571428571,3.142857143,14,neither
Wednesday,3.076923077,3.846153846,3.461538462,13,f
week,3,3.2,3.066666667,15,f
weeks,3,3.214285714,3.071428571,14,f
lose,2.666666667,3.133333333,2.933333333,15,neither
lost,2.071428571,3.071428571,2.571428571,14,neither
lot,2.785714286,3.214285714,3,14,neither
lots,2.714285714,3.5,3.071428571,14,neither
well (water),3,3.5,3.2,10,f
went,3,3.214285714,3.071428571,14,f
wet,3.285714286,4.142857143,3.714285714,14,f
while,3,3.5,3.2,10,f
whispered,3.666666667,4.333333333,4,15,f
whole,3,3.3,3.1,10,f
low,2.714285714,3.214285714,3,14,neither
why,3.071428571,3.501785714,3.285714286,14,f
luck,2.9,3.7,3.3,10,neither
wicked,3.307692308,3.846153846,3.538461538,13,f
lucky,2.571428571,3.5,3.071428571,14,neither
wife,5,5,5,14,f
wiggle,3.428571429,4.214285714,3.785714286,14,f
lunch,2.6,3.533333333,3.066666667,15,neither
lupine,2.6,3.8,3.2,10,neither
wind,3.266666667,3.866666667,3.6,15,f
lying,2.214285714,3,2.642857143,14,neither
wind (movement of air),3.076923077,3.846153846,3.461538462,13,f
macaroni,2.769230769,3.692307692,3.230769231,13,neither
window,3.2,3.666666667,3.4,15,f
windows,3,3.214285714,3.071428571,14,f
wine,3.384615385,4.230769231,3.846153846,13,f
wings,3.4,4.133333333,3.733333333,15,f
made,2.428571429,3.142857143,2.785714286,14,neither
wish,3.285714286,3.928571429,3.571428571,14,f
magic,2.666666667,3.466666667,3.066666667,15,neither
wished,3.2,4,3.6,10,f
magician,2.066666667,3.133333333,2.6,15,neither
witch,4.357142857,4.821428571,4.607142857,14,f
mail,2.7,3,2.9,10,neither
woman,4.8,5,4.933333333,15,f
wonder,3.1875,3.875,3.5,16,f
make,2.8,3.6,3.2,10,neither
makes,2.5,3.285714286,2.857142857,14,neither
making,2.7,3.7,3.2,10,neither
malt,2.142857143,3.071428571,2.571428571,14,neither
wondered,3,3.5,3.2,10,f
wonderful,3.583333333,4.25,3.916666667,12,f
many,2.733333333,3.133333333,2.933333333,15,neither
worry,3.153846154,3.846153846,3.538461538,13,f
March (month),2.5,3.285714286,2.928571429,14,neither
wow,3.071428571,3.5,3.285714286,14,f
writing,3.285714286,3.857142857,3.571428571,14,f
yarn,3.538461538,4.307692308,3.923076923,13,f
year,3,3.3,3.1,10,f
yellow,3.142857143,3.571428571,3.357142857,14,f
yes,3,3.214285714,3.071428571,14,f
young,3,3.6,3.3,10,f
yours,3.071428571,3.5,3.285714286,14,f
yourself,2.998214286,3.785714286,3.357142857,14,f
yummy,4,4.642857143,4.357142857,14,f
marvelous,2.866666667,3.666666667,3.333333333,15,neither
act (to take action),2.307692308,2.846153846,2.615384615,13,m
AJ,1.571428571,2.358928571,2,14,m
matter,2.5,3.571428571,3.071428571,14,neither
mattress,2.846153846,3.461538462,3.153846154,13,neither
Al,1.228846154,2.153846154,1.615384615,13,m
Alan,1,1.3,1.1,10,m
Alexander,1.1,1.8,1.4,10,m
alligator,1.571428571,2.428571429,2,14,m
Amos,1.4,2.4,1.9,10,m
me,2.569642857,3.571428571,3.071428571,14,neither
meal,2.785714286,3.214285714,3,14,neither
mean,2.357142857,3.214285714,2.785714286,14,neither
means,2.7,3.3,3,10,neither
meant,2.642857143,3.285714286,2.928571429,14,neither
meanwhile,2.857142857,3.285714286,3.071428571,14,neither
measured (in control),2.076923077,3.076923077,2.615384615,13,neither
measured (with a ruler),2.410294118,3,2.705882353,17,neither
angry,1.642857143,2.357142857,2,14,m
meatballs,2.230769231,3.078846154,2.692307692,13,neither
animal,2.4,2.866666667,2.666666667,15,m
meeting,2.285714286,3.142857143,2.714285714,14,neither
melted,2.705882353,3.294117647,3,17,neither
announced,2.133333333,2.8,2.466666667,15,m
Antonio,1,1.214285714,1.071428571,14,m
Apgar,1.8,2.8,2.3,10,m
aphids,2.083333333,2.833333333,2.5,12,m
archduke,1,1.769230769,1.307692308,13,m
armchair,2.153846154,2.923076923,2.538461538,13,m
Arnie,1,1.9,1.4,10,m
mess,2.333333333,3.133333333,2.733333333,15,neither
met,2.9375,3.4375,3.1875,16,neither
Arthur,1,1,1,10,m
asphalt,2.071428571,2.5,2.285714286,14,m
middle,2.785714286,3.214285714,3,14,neither
midnight,2.928571429,3.573214286,3.214285714,14,neither
ate,2,2.857142857,2.428571429,14,m
auto,1.333333333,2.416666667,1.833333333,12,m
awful,2.071428571,2.928571429,2.5,14,m
mile,2.228846154,3,2.615384615,13,neither
miles (distance),2.538461538,3,2.769230769,13,neither
axe,1.142857143,1.642857143,1.357142857,14,m
Babar,1.6975,2.7,2.2,10,m
million,2.533333333,3.066666667,2.8,15,neither
mind,2.692307692,3.153846154,2.923076923,13,neither
mine,2.5,3.214285714,2.857142857,14,neither
minute,2.7,3,2.9,10,neither
back,2.333333333,2.933333333,2.666666667,15,m
miss (action),2.785714286,3.571428571,3.142857143,14,neither
backwards,2.384615385,2.846153846,2.615384615,13,m
backyard,1.923076923,2.692307692,2.307692308,13,m
bad,2.065,2.933333333,2.466666667,15,m
mistake,2.571428571,3.430357143,3,14,neither
balls,1.384615385,2.230769231,1.769230769,13,m
band (music),2,2.857142857,2.428571429,14,m
bang,1.785714286,2.785714286,2.285714286,14,m
banged,2.058823529,2.823529412,2.470588235,17,m
mixed,2.928571429,3.571428571,3.214285714,14,neither
mixer,2.785714286,3.571428571,3.142857143,14,neither
mobile,2.785714286,3.214285714,3,14,neither
bank,2.2,2.733333333,2.466666667,15,m
barber,1,1.416666667,1.166666667,12,m
bark (tree),1.642857143,2.5,2.071428571,14,m
Monday,2.769230769,3.307692308,3.076923077,13,neither
barn,2.3,2.9,2.6,10,m
bat (animal),2.1,2.6,2.3,10,m
monkeys,2.461538462,3.076923077,2.769230769,13,neither
bat (baseball),1.426785714,1.857142857,1.642857143,14,m
months,2.882352941,3.235294118,3.058823529,17,neither
moo,2.416666667,3.333333333,2.916666667,12,neither
bats (animals),2,2.4,2.2,15,m
battle,1.3,1.9,1.6,10,m
more,2.6,3.333333333,3,15,neither
bean (food),2.357142857,2.857142857,2.642857143,14,m
bear (animal),1.6,2.4,2,15,m
beard,1,1.733333333,1.333333333,15,m
most,2.416666667,3.166666667,2.833333333,12,neither
mostly,2.833333333,3.5,3.166666667,12,neither
bears,1.8975,2.8,2.3,10,m
beef,1.428571429,2.142857143,1.785714286,14,m
Ben,1,1.666666667,1.25,12,m
best,2.214285714,2.928571429,2.571428571,14,m
mouse,2.666666667,3.533333333,3.133333333,15,neither
mouth,2.714285714,3.428571429,3.071428571,14,neither
bet,1.7,2.5,2.1,10,m
move,2.769230769,3,2.923076923,13,neither
moved,2.8125,3.4375,3.125,16,neither
movie,2.4,3,2.733333333,15,neither
moving,2.785714286,3.357142857,3.071428571,14,neither
